source,scraped_at,url,sku,title,price,currency,price_usd,best_offer,best_offer_currency,best_offer_usd,last_sale,last_sale_currency,last_sale_usd,last_sale_at,listing_marketplace,listing_expires_at,listing_quantity,chain,contract_address,token_id,token_standard,collection_slug,collection_name,rarity_rank,traits,image_url,owner_address,owner_username,is_delisted,is_compromised,data_source,page,position
opensea.io,2026-09-17T08:22:50.208548+00:00,https://opensea.io/item/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/1774,ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/1774,#1774,6.8497666,ETH,16707.950690719998,6.51,WETH,15886.2228,6.75,WETH,16926.57,2026-09-06T21:56:59.000Z,blur,2026-09-17T19:37:25.000Z,1,ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,1774,ERC721,boredapeyachtclub,Bored Ape Yacht Club,2412,Background: Orange | Clothes: Toga | Earring: Silver Hoop | Eyes: Closed | Fur: Pink | Hat: S&m Hat | Mouth: Bored,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/58d5cc3fc342034b39b344374d1e77/fd58d5cc3fc342034b39b344374d1e77.png,0xff53e1da7b67ae676d7742f858aab5bd4bc937f6,Check_my-bio,False,False,ssr,1,1
opensea.io,2026-09-17T08:22:50.208587+00:00,https://opensea.io/item/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/1474,ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/1474,#1474,6.84979,ETH,16708.007768,6.49,WETH,15837.4172,6.5,ETH,16276.52,2026-09-14T14:57:23.000Z,blur,2026-09-17T10:42:08.000Z,1,ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,1474,ERC721,boredapeyachtclub,Bored Ape Yacht Club,7044,Background: Blue | Clothes: Tanktop | Eyes: Bloodshot | Fur: Pink | Hat: Girl's Hair Short | Mouth: Bored,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/73cfbf303c84af133f3f311116235a/7973cfbf303c84af133f3f311116235a.png,0xba40917080746543702c90a75d2fd36c7f333395,Tritonwarmer,False,False,ssr,1,2
opensea.io,2026-09-17T08:22:50.208603+00:00,https://opensea.io/item/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/3428,ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/3428,#3428,6.8498,ETH,16708.03216,6.6,WETH,16105.848,10.45,,22281.8035,2026-05-20T17:11:35.000Z,opensea,2026-09-17T19:11:27.000Z,1,ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,3428,ERC721,boredapeyachtclub,Bored Ape Yacht Club,8903,Background: New Punk Blue | Clothes: Guayabera | Eyes: Eyepatch | Fur: Black | Hat: Beanie | Mouth: Bored,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/a0113a319b0a5248383a91916b7dc1/e3a0113a319b0a5248383a91916b7dc1.png,0xb497070466dc15fa6420b4781bb0352257146495,PockyTheHamster,False,False,ssr,1,3
opensea.io,2026-09-17T08:22:50.208629+00:00,https://opensea.io/item/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/2307,ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/2307,#2307,6.85,ETH,16708.52,6.51,WETH,15886.2228,6.7999,ETH,16900.947453,2026-09-08T19:35:59.000Z,blur,2026-09-18T18:51:51.000Z,1,ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2307,ERC721,boredapeyachtclub,Bored Ape Yacht Club,1617,Background: Gray | Clothes: Black Holes T | Eyes: Sad | Fur: White | Hat: Baby's Bonnet | Mouth: Bored Cigar,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/5d08bc0406ea44512dfe0cce6d6d43/635d08bc0406ea44512dfe0cce6d6d43.png,0xc2dacbb2dc82e81fe2d3e7e5f2bec2cf0bdbf14f,ArtBloxPapi,False,False,ssr,1,4
opensea.io,2026-09-17T08:22:50.208650+00:00,https://opensea.io/item/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/8749,ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/8749,#8749,6.88,ETH,16781.696,6.51,WETH,15886.2228,7.5,ETH,17360.925,2026-08-20T21:30:59.000Z,blur,2026-09-19T18:28:46.000Z,1,ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,8749,ERC721,boredapeyachtclub,Bored Ape Yacht Club,4712,Background: Purple | Clothes: Black Holes T | Eyes: Bored | Fur: Blue | Hat: Party Hat 1 | Mouth: Bored Unshaven Cigarette,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/ba5c8ade34753f99c8c7f04d5e8da0/58ba5c8ade34753f99c8c7f04d5e8da0.png,0x29469395eaf6f95920e59f858042f0e28d98a20b,,False,False,ssr,1,5
opensea.io,2026-09-17T08:22:50.208663+00:00,https://opensea.io/item/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/5899,ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/5899,#5899,6.89,ETH,16806.088,6.49,WETH,15837.4172,6.85,ETH,17225.7635,2026-09-11T23:58:23.000Z,blur,2027-03-12T19:47:30.000Z,1,ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,5899,ERC721,boredapeyachtclub,Bored Ape Yacht Club,4417,Background: Yellow | Clothes: Biker Vest | Earring: Silver Hoop | Eyes: Angry | Fur: Black | Mouth: Tongue Out,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/017dc39d189e92a01b349d38e177ba/2a017dc39d189e92a01b349d38e177ba.png,0x06d30a5dede7a9f3408f179a08618d8c5468d540,Room4,False,False,ssr,1,6
opensea.io,2026-09-17T08:22:50.208674+00:00,https://opensea.io/item/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/4520,ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/4520,#4520,6.9777,ETH,17020.005839999998,6.51,WETH,15886.2228,9.6,ETH,15531.84,2026-07-01T16:09:47.000Z,blur,2026-10-17T00:53:05.000Z,1,ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,4520,ERC721,boredapeyachtclub,Bored Ape Yacht Club,4062,Background: Purple | Clothes: Prison Jumpsuit | Earring: Silver Stud | Eyes: Robot | Fur: Brown | Hat: Beanie | Mouth: Bored,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/23d4f83420d01fc5b5e8de8906deaa/0323d4f83420d01fc5b5e8de8906deaa.png,0x29469395eaf6f95920e59f858042f0e28d98a20b,,False,False,ssr,1,7
opensea.io,2026-09-17T08:22:50.208684+00:00,https://opensea.io/item/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/5465,ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/5465,#5465,6.988,ETH,17045.1296,6.51,WETH,15886.2228,7.6998999999999,,18904.332485999756,2026-08-29T23:36:11.000Z,blur,2026-09-18T23:52:24.000Z,1,ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,5465,ERC721,boredapeyachtclub,Bored Ape Yacht Club,4312,Background: Gray | Clothes: Stunt Jacket | Eyes: Crazy | Fur: Dark Brown | Hat: Short Mohawk | Mouth: Phoneme  ooo,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/04a0b8156f488ffd64b0e2146d49ac/c904a0b8156f488ffd64b0e2146d49ac.png,0x29469395eaf6f95920e59f858042f0e28d98a20b,,False,False,ssr,1,8
opensea.io,2026-09-17T08:22:50.208695+00:00,https://opensea.io/item/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/7768,ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/7768,#7768,6.99,ETH,17050.008,6.49,WETH,15837.4172,7.25,WETH,17856.46,2026-09-01T11:57:47.000Z,opensea,2026-09-21T20:12:02.000Z,1,ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,7768,ERC721,boredapeyachtclub,Bored Ape Yacht Club,5648,Background: New Punk Blue | Clothes: Navy Striped Tee | Eyes: Robot | Fur: Gray | Hat: Party Hat 1 | Mouth: Bored,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/8e7c3e309eabe949e690fac89f040e/0b8e7c3e309eabe949e690fac89f040e.png,0xf76246b0842c92ad5bd745973ca9eb85b937b126,B0redApeYachtClvb,False,False,ssr,1,9
opensea.io,2026-09-17T08:22:50.208709+00:00,https://opensea.io/item/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/2049,ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/2049,#2049,6.999,ETH,17071.9608,6.51,WETH,15886.2228,6.39999,,13769.8344846,2026-04-06T10:58:59.000Z,blur,2026-09-17T08:54:52.000Z,1,ethereum,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2049,ERC721,boredapeyachtclub,Bored Ape Yacht Club,5785,Background: Purple | Clothes: Tuxedo Tee | Earring: Silver Hoop | Eyes: Bored | Fur: Blue | Mouth: Jovial,https://i2c.seadn.io/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/2169a61990f6c2bdb8e8ac977ced65/752169a61990f6c2bdb8e8ac977ced65.png,0x29469395eaf6f95920e59f858042f0e28d98a20b,,False,False,ssr,1,10
